step,wall_s,seed,arm,lr,nonfinite,agree_loss_diag,eff_rank_z,eff_rank_h,eff_rank_z_centred,eff_rank_h_centred,mean_std_z,mean_std_z_normalised,inv_sqrt_d,std_ceiling_normalised,n_diag_used,hinge_active_frac_z,hinge_active_frac_z_normalised,mean_z_norm,alignment,uniformity,train_loss,train_agree,train_var_raw,train_cov_raw,train_hinge_active
0,21.879,0,gram_vicreg_sg,0.0006,0.0,0.0025952353607863188,15.197491645812988,34.40168380737305,39.19792938232422,103.7568588256836,0.034927163273096085,0.016230061650276184,0.08838834764831843,0.08847479104076175,512,1.0,1.0,1.162304401397705,0.062156014144420624,-0.13689574599266052,,,,,
25,40.914,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,11.547481536865234,0.008887412026524544,0.4027126133441925,1.2574810981750488,nan
50,44.516,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,4.658527851104736,0.006830155849456787,0.04081499017775059,3.4673991203308105,nan
50,44.64,0,gram_vicreg_sg,0.030600000000000002,0.0,0.006045390851795673,50.52617645263672,170.20553588867188,75.24713897705078,261.6641845703125,1.170753002166748,0.03997443616390228,0.08838834764831843,0.08847479104076175,512,0.1015625,1.0,27.68096923828125,0.38343560695648193,-0.8007045388221741,,,,,
75,46.96,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,4.733996391296387,0.004113399889320135,0.06571068242192268,2.9883941411972046,nan
100,49.589,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,7.927825927734375,0.0043917493894696236,0.14423330128192902,4.212199687957764,nan
100,50.238,0,gram_vicreg_sg,0.06,0.0,0.004100976046174765,38.14324188232422,106.7045669555664,61.86577224731445,154.97154235839844,0.9223888516426086,0.03550427779555321,0.08838834764831843,0.08847479104076175,512,0.7421875,1.0,24.215328216552734,0.3010129928588867,-0.6373022198677063,,,,,
125,53.163,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,8.400558471679688,0.002623710548505187,0.19807226210832596,3.3831595182418823,nan
150,55.865,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,9.705196380615234,0.0017542524728924036,0.26082685589790344,3.1406688690185547,nan
150,55.965,0,gram_vicreg_sg,0.05998936833370358,0.0,0.003313654102385044,20.64425277709961,87.9263916015625,43.11676788330078,127.19395446777344,0.8983240723609924,0.026301145553588867,0.08838834764831843,0.08847479104076175,512,0.734375,1.0,30.24211883544922,0.16455107927322388,-0.355378121137619,,,,,
175,58.763,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,9.944748878479004,0.0022517479956150055,0.22487816959619522,4.266501188278198,nan
200,61.672,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,10.169533729553223,0.0015222670044749975,0.2580052316188812,3.6813466548919678,nan
200,62.446,0,gram_vicreg_sg,0.05995748087030285,0.0,0.0018304147524759173,17.557729721069336,81.91187286376953,40.928009033203125,120.19070434570312,0.7825188040733337,0.02422349713742733,0.08838834764831843,0.08847479104076175,512,0.921875,1.0,31.051427841186523,0.14100216329097748,-0.3037460744380951,,,,,
225,64.501,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,10.248208999633789,0.001226712134666741,0.26507192850112915,3.590742826461792,nan
250,67.314,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,9.586125373840332,0.001201656530611217,0.2456202208995819,3.415578246116638,nan
250,67.655,0,gram_vicreg_sg,0.0599043602109225,0.0,0.0023785335943102837,15.95087718963623,79.09663391113281,37.882572174072266,118.06558227539062,0.8142252564430237,0.024275880306959152,0.08838834764831843,0.08847479104076175,512,0.8984375,1.0,32.673316955566406,0.14191217720508575,-0.3066084086894989,,,,,
275,70.233,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,10.317996978759766,0.0008256716537289321,0.26442910730838776,3.686628580093384,nan
300,72.923,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,10.970263481140137,0.0007419907487928867,0.23288247734308243,5.1296515464782715,nan
300,73.199,0,gram_vicreg_sg,0.05983004400630411,0.0,0.0014714174903929234,13.513642311096191,78.12876892089844,37.28648376464844,117.33076477050781,0.803324818611145,0.020332831889390945,0.08838834764831843,0.08847479104076175,512,0.8984375,1.0,37.971519470214844,0.10233673453330994,-0.2154403179883957,,,,,
325,75.42,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,9.942681312561035,0.0006776491645723581,0.2659709304571152,3.276467204093933,nan
350,78.446,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,10.912437438964844,0.0007410008111037314,0.2859691232442856,3.7446844577789307,nan
350,78.563,0,gram_vicreg_sg,0.05973458493012021,0.0,0.0008137576514855027,13.251358032226562,78.12266540527344,37.008323669433594,118.57527160644531,0.7264066338539124,0.019386496394872665,0.08838834764831843,0.08847479104076175,512,0.921875,1.0,35.185943603515625,0.09471423923969269,-0.19758276641368866,,,,,
375,80.701,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,12.379722595214844,0.0010968772694468498,0.21792254596948624,6.904237747192383,nan
400,84.302,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,10.856329917907715,0.0010444920044392347,0.26621678471565247,4.174798488616943,nan
400,84.812,0,gram_vicreg_sg,0.05961805064164034,0.0,0.0007797530852258205,13.620010375976562,80.03292846679688,37.534217834472656,124.02086639404297,0.7150627374649048,0.019715022295713425,0.08838834764831843,0.08847479104076175,512,0.9765625,1.0,34.58745574951172,0.0951470136642456,-0.20201656222343445,,,,,
425,87.172,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,11.76494026184082,0.0016091796569526196,0.18914227187633514,6.996153831481934,nan
450,89.99,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,10.845947265625,0.0014555470552295446,0.23093995451927185,5.036060571670532,nan
450,90.312,0,gram_vicreg_sg,0.05948052373777563,0.0,0.002018954139202833,13.92754077911377,75.47417449951172,33.98342514038086,118.2695541381836,0.8025416731834412,0.022959114983677864,0.08838834764831843,0.08847479104076175,512,0.890625,1.0,33.268428802490234,0.13001330196857452,-0.2766842842102051,,,,,
475,92.68,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,14.569458961486816,0.0022416741121560335,0.2075551226735115,9.324539184570312,nan
500,95.079,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,11.497599601745605,0.0012803156860172749,0.315487340092659,3.578408122062683,nan
500,95.6,0,gram_vicreg_sg,0.059322101694536,0.0,0.002165868878364563,13.083367347717285,74.42462158203125,31.986461639404297,118.0152587890625,0.7541437149047852,0.022640056908130646,0.08838834764831843,0.08847479104076175,512,0.9140625,1.0,31.594236373901367,0.13211864233016968,-0.2789470851421356,,,,,
525,97.961,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,11.091115951538086,0.0017782505601644516,0.26738590002059937,4.3620123863220215,nan
550,100.537,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,11.589526176452637,0.001493136864155531,0.27882303297519684,4.581622123718262,nan
550,101.714,0,gram_vicreg_sg,0.0591428967979413,0.0,0.004258987493813038,12.176883697509766,69.1539535522461,29.012887954711914,110.76082611083984,0.8314975500106812,0.024469424039125443,0.08838834764831843,0.08847479104076175,512,0.765625,1.0,32.24407196044922,0.15440765023231506,-0.3160935342311859,,,,,
575,103.919,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,11.019857406616211,0.0014430854935199022,0.28958356380462646,3.744191288948059,nan
600,107.005,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,12.517254829406738,0.0021545514464378357,0.27034707367420197,5.704714298248291,nan
600,107.658,0,gram_vicreg_sg,0.05894303606443548,0.0,0.0028417061548680067,13.525903701782227,64.7266616821289,30.633935928344727,104.13668060302734,0.8097065687179565,0.02511373534798622,0.08838834764831843,0.08847479104076175,512,0.875,1.0,30.799440383911133,0.1559092402458191,-0.3298181891441345,,,,,
625,109.853,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,11.759044647216797,0.0022385744377970695,0.2417220175266266,5.660029649734497,nan
650,112.738,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,13.953760147094727,0.0033775875344872475,0.24166618287563324,7.8276660442352295,nan
650,113.25,0,gram_vicreg_sg,0.05872266115086016,0.0,0.004603572655469179,13.858458518981934,57.43738555908203,29.708005905151367,92.43184661865234,0.8057012557983398,0.026743872091174126,0.08838834764831843,0.08847479104076175,512,0.859375,1.0,29.015737533569336,0.18447047472000122,-0.3763253092765808,,,,,
675,115.721,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,11.960067749023438,0.0023235399276018143,0.22399425506591797,6.3021228313446045,nan
700,118.719,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,17.81170082092285,0.0034906030632555485,0.21158583462238312,12.434789657592773,nan
700,118.824,0,gram_vicreg_sg,0.058481928254051435,0.0,0.004462839104235172,12.025900840759277,53.284542083740234,26.406970977783203,85.83942413330078,0.8988410234451294,0.02628405950963497,0.08838834764831843,0.08847479104076175,512,0.6875,1.0,32.48580551147461,0.16987895965576172,-0.3600389063358307,,,,,
725,121.157,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,10.812084197998047,0.0014736767625436187,0.28221556544303894,3.7198526859283447,nan
750,123.941,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,12.356425285339355,0.0019801310263574123,0.21142741292715073,7.021236419677734,nan
750,124.494,0,gram_vicreg_sg,0.058221008000131,0.0,0.0032704961486160755,12.33427906036377,54.461849212646484,28.077098846435547,88.01905822753906,0.8410404324531555,0.025011492893099785,0.08838834764831843,0.08847479104076175,512,0.8046875,1.0,32.579185485839844,0.15371616184711456,-0.32775717973709106,,,,,
775,126.545,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,11.932424545288086,0.0016003879718482494,0.20160267502069473,6.852348327636719,nan
800,130.275,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,11.831344604492188,0.00180998002178967,0.27012988924980164,5.032847881317139,nan
800,130.777,0,gram_vicreg_sg,0.05794008532357015,0.0,0.0023448357824236155,12.152631759643555,49.95035171508789,29.48539161682129,81.419189453125,0.7722243070602417,0.02335578016936779,0.08838834764831843,0.08847479104076175,512,0.8984375,1.0,31.906963348388672,0.13166379928588867,-0.28154948353767395,,,,,
825,133.022,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,10.902644157409668,0.0010824352502822876,0.26125043630599976,4.344323754310608,nan
850,135.748,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,10.379157066345215,0.0012924917973577976,0.27415139973163605,3.4930598735809326,nan
850,136.261,0,gram_vicreg_sg,0.05763935933611238,0.0,0.0021795041393488646,12.650371551513672,50.069419860839844,29.56386375427246,81.80269622802734,0.8033093214035034,0.02408425696194172,0.08838834764831843,0.08847479104076175,512,0.8671875,1.0,32.50017166137695,0.14437003433704376,-0.30402764678001404,,,,,
875,138.493,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,11.094752311706543,0.0015557105652987957,0.25469037890434265,4.688600063323975,nan
900,141.608,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,10.325103759765625,0.0015580725157633424,0.229043647646904,4.560060739517212,nan
900,142.436,0,gram_vicreg_sg,0.0573190431856474,0.0,0.0029838206246495247,13.692218780517578,48.63511276245117,30.7757568359375,79.78202056884766,0.8206486701965332,0.025250371545553207,0.08838834764831843,0.08847479104076175,512,0.8203125,1.0,31.490007400512695,0.1600458323955536,-0.32856446504592896,,,,,
925,144.385,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,9.933029174804688,0.0009798272512853146,0.24637161940336227,3.7492423057556152,nan
950,147.041,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,10.849112510681152,0.0017582746222615242,0.21335910260677338,5.471178293228149,nan
950,147.214,0,gram_vicreg_sg,0.056979363905136575,0.0,0.003973166458308697,14.668296813964844,46.520965576171875,30.931257247924805,75.64444732666016,0.8822272419929504,0.027022505179047585,0.08838834764831843,0.08847479104076175,512,0.75,1.0,31.07940673828125,0.17554634809494019,-0.3747960925102234,,,,,
975,149.605,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,10.545170783996582,0.0016516272444278002,0.21734758466482162,5.0701904296875,nan
1000,153.663,0,gram_vicreg_sg,,,,,,,,,,,,,,,,,,9.780732154846191,0.0014417738420888782,0.24641114473342896,3.5844098329544067,nan
