step,wall_s,seed,arm,lr,nonfinite,agree_loss_diag,eff_rank_z,eff_rank_h,eff_rank_z_centred,eff_rank_h_centred,mean_std_z,mean_std_z_normalised,inv_sqrt_d,std_ceiling_normalised,n_diag_used,hinge_active_frac_z,hinge_active_frac_z_normalised,mean_z_norm,alignment,uniformity,train_loss,train_agree,train_var_raw,train_cov_raw,train_hinge_active
0,3.424,2,gram_vicreg_sphere_gamma,0.0006,0.0,0.0010951639851555228,11.842171669006348,30.547983169555664,34.825130462646484,100.18084716796875,0.04254930466413498,0.012286481447517872,0.08838834764831843,0.08847479104076175,512,0.9140625,1.0,1.5918166637420654,0.037931546568870544,-0.0788673460483551,,,,,
25,7.188,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.6371079087257385,0.022019391879439354,0.0034626403357833624,5.713074642699212e-05,0.73828125
50,10.159,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.5439536571502686,0.02007599174976349,0.0016802176251076162,4.844214709009975e-05,0.5
50,11.009,2,gram_vicreg_sphere_gamma,0.030600000000000002,0.0,0.028602296486496925,110.61731719970703,212.2874298095703,113.45466613769531,344.989990234375,0.34877634048461914,0.08258640766143799,0.08838834764831843,0.08847479104076175,512,0.0,0.890625,4.170784950256348,1.6978002786636353,-3.365776300430298,,,,,
75,13.189,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.5322469472885132,0.01985851489007473,0.0014294806169345975,4.704233106167521e-05,0.48046875
100,15.707,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.5553684234619141,0.0204455703496933,0.0017671854584477842,4.949225694872439e-05,0.48046875
100,16.717,2,gram_vicreg_sphere_gamma,0.06,0.0,0.030565762892365456,111.79151916503906,203.41136169433594,114.34330749511719,337.0923156738281,0.36317139863967896,0.08300623297691345,0.08838834764831843,0.08847479104076175,512,0.0,0.7890625,4.334535121917725,1.700384497642517,-3.40193772315979,,,,,
125,19.204,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.5266097784042358,0.0195123590528965,0.001550179731566459,4.634197830455378e-05,0.46875
150,22.066,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.5228790640830994,0.019240137189626694,0.0016732350923120975,4.474815432331525e-05,0.48828125
150,22.387,2,gram_vicreg_sphere_gamma,0.05998936833370358,0.0,0.020809432491660118,116.06942749023438,206.75625610351562,118.16053771972656,349.5826416015625,0.35723376274108887,0.08397241681814194,0.08838834764831843,0.08847479104076175,512,0.0,0.875,4.222902297973633,1.753602385520935,-3.5276999473571777,,,,,
175,24.74,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.5103375911712646,0.018750227987766266,0.0016615617205388844,4.2829769881791435e-05,0.4921875
200,27.881,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.49994590878486633,0.018422666937112808,0.0015735072083771229,4.155693750362843e-05,0.453125
200,28.461,2,gram_vicreg_sphere_gamma,0.05995748087030285,0.0,0.019288141280412674,117.3975830078125,201.5304718017578,119.46288299560547,357.6977233886719,0.37027496099472046,0.08410829305648804,0.08838834764831843,0.08847479104076175,512,0.0,0.8984375,4.372618198394775,1.7627549171447754,-3.5476622581481934,,,,,
225,30.879,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4883381724357605,0.01809193566441536,0.001439969113562256,4.053245538671035e-05,0.42578125
250,33.48,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4806097447872162,0.017657378688454628,0.0015654725721105933,3.8466620026156306e-05,0.453125
250,34.033,2,gram_vicreg_sphere_gamma,0.0599043602109225,0.0,0.019198894500732422,118.36981201171875,199.25819396972656,120.10579681396484,358.8272705078125,0.3706204891204834,0.08468004316091537,0.08838834764831843,0.08847479104076175,512,0.0,0.859375,4.346071243286133,1.792373776435852,-3.5982515811920166,,,,,
275,36.423,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.48517826199531555,0.017901252955198288,0.0015043121529743075,3.914431727025658e-05,0.45703125
300,39.006,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.47672003507614136,0.017579656094312668,0.001487653236836195,3.731256401806604e-05,0.46484375
300,39.425,2,gram_vicreg_sphere_gamma,0.05983004400630411,0.0,0.018278324976563454,118.61441040039062,197.37872314453125,120.31404113769531,359.9689636230469,0.390240341424942,0.0847683995962143,0.08838834764831843,0.08847479104076175,512,0.0,0.84375,4.5646162033081055,1.7988154888153076,-3.610110282897949,,,,,
325,42.184,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.47460293769836426,0.017478154972195625,0.0015044781612232327,3.71154019376263e-05,0.46484375
350,44.949,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4654541611671448,0.017104607075452805,0.001512116868980229,3.608551196521148e-05,0.45703125
350,45.474,2,gram_vicreg_sphere_gamma,0.05973458493012021,0.0,0.018083009868860245,119.1253890991211,193.80404663085938,120.83016204833984,360.95623779296875,0.3754386901855469,0.08476953208446503,0.08838834764831843,0.08847479104076175,512,0.0,0.8828125,4.400169849395752,1.8062682151794434,-3.6101255416870117,,,,,
375,47.785,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4654434025287628,0.017257221043109894,0.0013590333401225507,3.705966082634404e-05,0.4375
400,50.987,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.46931248903274536,0.017153816297650337,0.0016172104515135288,3.68227392755216e-05,0.47265625
400,51.77,2,gram_vicreg_sphere_gamma,0.05961805064164034,0.0,0.01835245080292225,119.22836303710938,191.07325744628906,120.80745697021484,360.22705078125,0.38898879289627075,0.08503951877355576,0.08838834764831843,0.08847479104076175,512,0.0,0.8359375,4.5420379638671875,1.8087351322174072,-3.632951259613037,,,,,
425,54.632,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4640079438686371,0.01721227541565895,0.001346580742392689,3.654020474641584e-05,0.47265625
450,56.764,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4649403691291809,0.017069445922970772,0.001526714419014752,3.6358598663355224e-05,0.4453125
450,57.42,2,gram_vicreg_sphere_gamma,0.05948052373777563,0.0,0.01960032619535923,118.63963317871094,186.7385711669922,120.53288269042969,359.9723815917969,0.3833054304122925,0.08445204049348831,0.08838834764831843,0.08847479104076175,512,0.0,0.8828125,4.509408473968506,1.774625539779663,-3.5775375366210938,,,,,
475,60.074,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.45682787895202637,0.016772538423538208,0.0014991602511145175,3.5396624298300594e-05,0.42578125
500,63.172,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.45558786392211914,0.016708970069885254,0.001513148017693311,3.492510586511344e-05,0.47265625
500,63.338,2,gram_vicreg_sphere_gamma,0.059322101694536,0.0,0.017706463113427162,119.99891662597656,185.78689575195312,121.47666931152344,363.6186828613281,0.3831353783607483,0.08531033247709274,0.08838834764831843,0.08847479104076175,512,0.0,0.796875,4.45884370803833,1.8074774742126465,-3.659707546234131,,,,,
525,65.77,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.45265451073646545,0.016731377691030502,0.001373404695186764,3.49403217114741e-05,0.45703125
550,68.537,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.44088032841682434,0.016437813639640808,0.0011960351839661598,3.409666533116251e-05,0.4296875
550,68.813,2,gram_vicreg_sphere_gamma,0.0591428967979413,0.0,0.017375633120536804,120.1120376586914,183.01995849609375,121.44996643066406,364.7448425292969,0.3899315297603607,0.08545966446399689,0.08838834764831843,0.08847479104076175,512,0.0,0.7890625,4.53359842300415,1.822906494140625,-3.6742820739746094,,,,,
575,71.379,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4563165605068207,0.016688760370016098,0.0015625054948031902,3.491423194645904e-05,0.453125
600,74.887,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.44386327266693115,0.016524210572242737,0.0012289519072510302,3.421292240091134e-05,0.45703125
600,75.738,2,gram_vicreg_sphere_gamma,0.05894303606443548,0.0,0.017833232879638672,119.57133483886719,182.0106658935547,121.15560913085938,362.1686096191406,0.3995717167854309,0.08501425385475159,0.08838834764831843,0.08847479104076175,512,0.0,0.7734375,4.6621222496032715,1.7923344373703003,-3.6317803859710693,,,,,
625,77.979,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4522932469844818,0.016758611425757408,0.0013317064731381834,3.530277172103524e-05,0.46875
650,80.847,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4498296082019806,0.016610581427812576,0.0013812335673719645,3.422318695811555e-05,0.453125
650,81.234,2,gram_vicreg_sphere_gamma,0.05872266115086016,0.0,0.01689925231039524,120.732421875,183.03802490234375,121.70707702636719,366.76971435546875,0.39677107334136963,0.0860399529337883,0.08838834764831843,0.08847479104076175,512,0.0,0.7578125,4.5805463790893555,1.859009861946106,-3.727339744567871,,,,,
675,83.51,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.46234479546546936,0.016975276172161102,0.0015170839615166187,3.578486757760402e-05,0.48046875
700,86.398,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4488702714443207,0.01645822636783123,0.001495232107117772,3.381488022569101e-05,0.44140625
700,86.626,2,gram_vicreg_sphere_gamma,0.058481928254051435,0.0,0.017186157405376434,120.56817626953125,179.93470764160156,121.72489166259766,364.2633972167969,0.4012566804885864,0.08578459918498993,0.08838834764831843,0.08847479104076175,512,0.0,0.78125,4.645870208740234,1.829626441001892,-3.703502893447876,,,,,
725,89.517,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.44890880584716797,0.016453497111797333,0.0015015093958936632,3.362160350661725e-05,0.4765625
750,92.892,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4496247172355652,0.0165310800075531,0.0014525391161441803,3.423813541303389e-05,0.44140625
750,93.153,2,gram_vicreg_sphere_gamma,0.058221008000131,0.0,0.016965989023447037,120.47553253173828,179.1558837890625,121.72860717773438,365.9177551269531,0.4024081528186798,0.085626982152462,0.08838834764831843,0.08847479104076175,512,0.0,0.765625,4.665069580078125,1.822130799293518,-3.6903164386749268,,,,,
775,95.243,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4433993697166443,0.01631871424615383,0.0014159176498651505,3.3571785024832934e-05,0.4609375
800,98.509,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.45040154457092285,0.016520578414201736,0.0014941347762942314,3.370556078152731e-05,0.45703125
800,99.058,2,gram_vicreg_sphere_gamma,0.05794008532357015,0.0,0.016652226448059082,121.21368408203125,177.50579833984375,122.14421844482422,367.63677978515625,0.39984452724456787,0.08621873706579208,0.08838834764831843,0.08847479104076175,512,0.0,0.7578125,4.60487699508667,1.844342827796936,-3.7441422939300537,,,,,
825,100.982,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4502052664756775,0.016572704538702965,0.0014341284986585379,3.444123831286561e-05,0.44140625
850,104.129,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4387299418449402,0.016201309859752655,0.0013465658412314951,3.304049459984526e-05,0.44140625
850,104.484,2,gram_vicreg_sphere_gamma,0.05763935933611238,0.0,0.016498971730470657,120.55696105957031,176.8158721923828,121.91252136230469,367.6372985839844,0.4166330397129059,0.0854211077094078,0.08838834764831843,0.08847479104076175,512,0.0,0.8046875,4.841552734375,1.8160314559936523,-3.674347162246704,,,,,
875,107.631,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4408677816390991,0.01610437035560608,0.0015290140872821212,3.315857975394465e-05,0.45703125
900,109.916,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.44298556447029114,0.016361955553293228,0.001356124586891383,3.3557293136254884e-05,0.44140625
900,110.328,2,gram_vicreg_sphere_gamma,0.0573190431856474,0.0,0.017040608450770378,120.31989288330078,173.72076416015625,121.7803955078125,366.0580749511719,0.40489739179611206,0.08519486337900162,0.08838834764831843,0.08847479104076175,512,0.0,0.8125,4.722034931182861,1.8160104751586914,-3.652787685394287,,,,,
925,112.6,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.43977224826812744,0.01616906188428402,0.0014205071493051946,3.302542245364748e-05,0.44921875
950,115.388,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.449795126914978,0.01652749627828598,0.0014629432698711753,3.4119490010198206e-05,0.43359375
950,115.895,2,gram_vicreg_sphere_gamma,0.056979363905136575,0.0,0.017098568379878998,120.8226089477539,172.55661010742188,121.85399627685547,365.12646484375,0.41397470235824585,0.08600367605686188,0.08838834764831843,0.08847479104076175,512,0.0,0.71875,4.778853893280029,1.843254566192627,-3.7224621772766113,,,,,
975,118.189,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4404193162918091,0.016383089125156403,0.0012323640985414386,3.298948286101222e-05,0.41015625
1000,121.705,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4437825083732605,0.01621510088443756,0.0015348923043347895,3.269593435106799e-05,0.46875
1000,122.504,2,gram_vicreg_sphere_gamma,0.05662056225169714,0.0,0.016614170745015144,121.54161834716797,174.0198211669922,122.23726654052734,367.2742614746094,0.42032888531684875,0.0866703912615776,0.08838834764831843,0.08847479104076175,512,0.0,0.7109375,4.813017845153809,1.865060567855835,-3.783013343811035,,,,,
1025,125.358,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4462031424045563,0.016359925270080566,0.0014868761645630002,3.310431930003688e-05,0.46875
1050,127.981,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.43985095620155334,0.016236618161201477,0.001356102409772575,3.2963958801701665e-05,0.43359375
1050,128.216,2,gram_vicreg_sphere_gamma,0.056242892535958836,0.0,0.01647869497537613,121.20177459716797,171.60870361328125,122.1166763305664,367.29052734375,0.41589874029159546,0.08624689280986786,0.08838834764831843,0.08847479104076175,512,0.0,0.734375,4.779682159423828,1.8557870388031006,-3.7465121746063232,,,,,
1075,130.523,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4460594952106476,0.01632961444556713,0.0015114408452063799,3.311598447908182e-05,0.46875
1100,133.489,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.4400641918182373,0.016293952241539955,0.0013072724686935544,3.355225271661766e-05,0.44140625
1100,133.964,2,gram_vicreg_sphere_gamma,0.05584662244181418,0.0,0.016778727993369102,121.0154800415039,173.62413024902344,122.05403900146484,368.6656799316406,0.4245736300945282,0.08598600327968597,0.08838834764831843,0.08847479104076175,512,0.0,0.75,4.900299072265625,1.847357153892517,-3.72422456741333,,,,,
1125,136.393,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.44651320576667786,0.01629697158932686,0.0015622302889823914,3.313741217425559e-05,0.42578125
1150,139.177,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.44183349609375,0.016246411949396133,0.0014256073045544326,3.303247467556503e-05,0.4140625
1150,139.387,2,gram_vicreg_sphere_gamma,0.05543203283669012,0.0,0.016516635194420815,120.95813751220703,171.14544677734375,121.9471664428711,366.9294128417969,0.43053188920021057,0.08605478703975677,0.08838834764831843,0.08847479104076175,512,0.0,0.7578125,4.96622896194458,1.8541733026504517,-3.7295570373535156,,,,,
1175,142.248,2,gram_vicreg_sphere_gamma,,,,,,,,,,,,,,,,,,0.44128838181495667,0.016382668167352676,0.0012675258913077414,3.353045758558437e-05,0.421875
