step,wall_s,seed,arm,lr,nonfinite,agree_loss_diag,eff_rank_z,eff_rank_h,eff_rank_z_centred,eff_rank_h_centred,mean_std_z,mean_std_z_normalised,inv_sqrt_d,std_ceiling_normalised,n_diag_used,hinge_active_frac_z,hinge_active_frac_z_normalised,mean_z_norm,alignment,uniformity,train_loss,train_agree,train_var_raw,train_cov_raw,train_hinge_active
0,3.547,0,gram_vicreg_sphere,0.0006,0.0,0.0025952353607863188,15.197491645812988,34.40168380737305,39.19792938232422,103.7568588256836,0.034927163273096085,0.016230061650276184,0.08838834764831843,0.08847479104076175,512,1.0,1.0,1.162304401397705,0.062156014144420624,-0.13689574599266052,,,,,
25,7.739,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.361042022705078,0.022492626681923866,0.9119468033313751,5.673120540450327e-05,1.0
50,9.95,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.27500343322754,0.019745130091905594,0.9112530946731567,4.6104858483886346e-05,1.0
50,10.281,0,gram_vicreg_sphere,0.030600000000000002,0.0,0.027343247085809708,114.31495666503906,214.6256866455078,115.88980102539062,349.1206970214844,0.3296786844730377,0.08493131399154663,0.08838834764831843,0.08847479104076175,512,1.0,1.0,3.854022741317749,1.7810527086257935,-3.5742087364196777,,,,,
75,13.689,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.24114990234375,0.018566276878118515,0.9110779762268066,4.178722156211734e-05,1.0
100,16.079,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.22592544555664,0.017958354204893112,0.911077082157135,3.952965926146135e-05,1.0
100,16.468,0,gram_vicreg_sphere,0.06,0.0,0.020858503878116608,117.29647827148438,215.59747314453125,118.9013442993164,351.3753662109375,0.3385617733001709,0.08489485830068588,0.08838834764831843,0.08847479104076175,512,1.0,1.0,3.9496638774871826,1.781843662261963,-3.6047987937927246,,,,,
125,19.009,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.226116180419922,0.018003681674599648,0.9110393524169922,3.974823994212784e-05,1.0
150,21.526,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.20442771911621,0.017142359167337418,0.9110333323478699,3.624000964919105e-05,1.0
150,22.08,0,gram_vicreg_sphere,0.05998936833370358,0.0,0.019148943945765495,118.89663696289062,215.76922607421875,120.27291107177734,355.76129150390625,0.33537980914115906,0.08531737327575684,0.08838834764831843,0.08847479104076175,512,1.0,1.0,3.8961198329925537,1.8181533813476562,-3.6534359455108643,,,,,
175,24.495,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.203441619873047,0.017122194170951843,0.911014050245285,3.678074062918313e-05,1.0
200,27.572,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.20286750793457,0.017089873552322388,0.9110234081745148,3.56060281774262e-05,1.0
200,28.132,0,gram_vicreg_sphere,0.05995748087030285,0.0,0.018211036920547485,120.50448608398438,213.48312377929688,121.31574249267578,358.27008056640625,0.3227978050708771,0.0863926038146019,0.08838834764831843,0.08847479104076175,512,1.0,1.0,3.712693452835083,1.864104151725769,-3.7524478435516357,,,,,
225,30.518,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.193681716918945,0.016718700528144836,0.9110271632671356,3.477967038634233e-05,1.0
250,33.422,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.194374084472656,0.01674487814307213,0.9110288023948669,3.473889046290424e-05,1.0
250,33.899,0,gram_vicreg_sphere,0.0599043602109225,0.0,0.017507746815681458,120.61872100830078,210.80288696289062,121.39450073242188,358.87158203125,0.3230586647987366,0.086492158472538,0.08838834764831843,0.08847479104076175,512,1.0,1.0,3.7063965797424316,1.8650802373886108,-3.7642288208007812,,,,,
275,36.293,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.19118309020996,0.0166206955909729,0.9110252261161804,3.4596765544847585e-05,1.0
300,38.986,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.192296981811523,0.01665874943137169,0.9110317230224609,3.4595903343870305e-05,1.0
300,39.457,0,gram_vicreg_sphere,0.05983004400630411,0.0,0.017962642014026642,120.25049591064453,210.46441650390625,121.2403335571289,359.2491149902344,0.34149011969566345,0.08607761561870575,0.08838834764831843,0.08847479104076175,512,1.0,1.0,3.936711311340332,1.8511779308319092,-3.724548578262329,,,,,
325,41.698,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.19076156616211,0.016610732302069664,0.9110183715820312,3.409847340662964e-05,1.0
350,44.736,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.190031051635742,0.016576312482357025,0.9110235571861267,3.388225559319835e-05,1.0
350,45.321,0,gram_vicreg_sphere,0.05973458493012021,0.0,0.016986101865768433,120.80083465576172,208.57151794433594,121.6719741821289,360.5574951171875,0.328178346157074,0.08625322580337524,0.08838834764831843,0.08847479104076175,512,1.0,1.0,3.7714407444000244,1.860945463180542,-3.743950843811035,,,,,
375,47.943,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.191253662109375,0.016652852296829224,0.9109959304332733,3.4413529647281393e-05,1.0
400,51.269,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.18467140197754,0.01636674627661705,0.9110187590122223,3.3631507903919555e-05,1.0
400,51.817,0,gram_vicreg_sphere,0.05961805064164034,0.0,0.017251918092370033,120.61664581298828,205.68353271484375,121.63310241699219,358.09979248046875,0.33676421642303467,0.08612631261348724,0.08838834764831843,0.08847479104076175,512,1.0,1.0,3.8739545345306396,1.8461438417434692,-3.731768846511841,,,,,
425,54.057,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.1901798248291,0.01657959818840027,0.9110262095928192,3.3801841709646396e-05,1.0
450,57.17,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.19156265258789,0.01663374900817871,0.9110274016857147,3.397931686777156e-05,1.0
450,57.358,0,gram_vicreg_sphere,0.05948052373777563,0.0,0.017144862562417984,121.15318298339844,205.20352172851562,121.82256317138672,359.4848937988281,0.32964423298835754,0.08670509606599808,0.08838834764831843,0.08847479104076175,512,1.0,1.0,3.7663989067077637,1.8785594701766968,-3.783022403717041,,,,,
475,59.59,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.19355583190918,0.01672169752418995,0.9110190868377686,3.393583210709039e-05,1.0
500,62.509,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.189640045166016,0.01657458022236824,0.911009669303894,3.392467988305725e-05,1.0
500,63.264,0,gram_vicreg_sphere,0.059322101694536,0.0,0.017275771126151085,121.25599670410156,203.35211181640625,121.99899291992188,360.1131591796875,0.3359411060810089,0.0865975171327591,0.08838834764831843,0.08847479104076175,512,1.0,1.0,3.850872039794922,1.8737444877624512,-3.772242546081543,,,,,
525,65.497,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.18570327758789,0.01642441749572754,0.9110023379325867,3.365212251082994e-05,1.0
550,68.436,0,gram_vicreg_sphere,,,,,,,,,,,,,,,,,,23.19034767150879,0.016595974564552307,0.911016583442688,3.3927857657545246e-05,1.0
