step,wall_s,loss,lr,seed,imgs_per_s,receptive_field_px,measurement_window_px,censored_frac,n_cells_total,n_cells_labeled,frac_thing_cells,frac_excluded_cells,mean_ell_thing,mean_ell_stuff,n_diag_images,auc_ell_acf,auc_ell_freq,auc_naive_acf_energy,auc_residual_magnitude,auc_ell_acf_stuck,auc_naive_stuck,auc_ell_acf_energetic,auc_naive_energetic
50,27.429,0.20198117196559906,0.000153,0,386.4944797861434,,,,,,,,,,,,,,,,,,
100,43.825,0.1961255669593811,0.000303,0,465.6315588778991,,,,,,,,,,,,,,,,,,
150,59.578,0.18314900994300842,0.000453,0,505.3754638690465,,,,,,,,,,,,,,,,,,
200,76.056,0.18350107967853546,0.000603,0,522.6970188295974,,,,,,,,,,,,,,,,,,
250,91.953,0.17428022623062134,0.000753,0,537.1422404503928,,,,,,,,,,,,,,,,,,
300,108.826,0.17454825341701508,0.000903,0,542.1907977423147,,,,,,,,,,,,,,,,,,
350,124.734,0.16725598275661469,0.001053,0,550.1729645954302,,,,,,,,,,,,,,,,,,
400,141.794,0.1757977306842804,0.001203,0,551.7093132863636,,,,,,,,,,,,,,,,,,
450,157.803,0.1736816167831421,0.001353,0,556.6561078800269,,,,,,,,,,,,,,,,,,
500,174.875,0.17250148952007294,0.0015,0,557.2193331938707,,,,,,,,,,,,,,,,,,
550,190.829,0.16679923236370087,0.0014998974787443517,0,560.99160843162,,,,,,,,,,,,,,,,,,
600,207.68,0.16796647012233734,0.0014995899430056945,0,561.7059713624942,,,,,,,,,,,,,,,,,,
650,223.293,0.18098221719264984,0.0014990774768612286,0,565.4682508553943,,,,,,,,,,,,,,,,,,
700,239.489,0.17125672101974487,0.0014983602204140809,0,567.333083311282,,,,,,,,,,,,,,,,,,
750,256.27,0.16972707211971283,0.0014974383697550025,0,567.6467355255049,,,,,,,,,,,,,,,,,,
800,272.354,0.17069318890571594,0.0014963121769087586,0,569.3886559093228,,,,,,,,,,,,,,,,,,
850,289.025,0.17074470221996307,0.0014949819497652287,0,569.7641773037662,,,,,,,,,,,,,,,,,,
900,305.221,0.16779367625713348,0.0014934480519952313,0,570.993344863909,,,,,,,,,,,,,,,,,,
950,322.302,0.1720958948135376,0.0014917109029511013,0,570.5155146777279,,,,,,,,,,,,,,,,,,
1000,338.504,0.1646720916032791,0.0014897709775520418,0,571.5754486604136,,,,,,,,,,,,,,,,,,
1050,355.444,0.1755944937467575,0.0014876288061542867,0,571.3421595778652,,,,,,,,,,,,,,,,,,
1100,371.822,0.16587015986442566,0.0014852849744061071,0,571.9987273359799,,,,,,,,,,,,,,,,,,
1150,388.705,0.1765332967042923,0.0014827401230876995,0,571.8517089106664,,,,,,,,,,,,,,,,,,
1200,404.752,0.16272996366024017,0.0014799949479360043,0,572.9038583564497,,,,,,,,,,,,,,,,,,
1250,421.488,0.16984166204929352,0.0014770501994544978,0,572.9329581553156,,,,,,,,,,,,,,,,,,
1300,437.267,0.16324028372764587,0.0014739066827080115,0,574.2203701254635,,,,,,,,,,,,,,,,,,
1350,453.468,0.16496498882770538,0.0014705652571026361,0,574.8786603322794,,,,,,,,,,,,,,,,,,
1400,470.251,0.17143133282661438,0.0014670268361507682,0,574.7760740120443,,,,,,,,,,,,,,,,,,
1450,486.252,0.16640040278434753,0.0014632923872213654,0,575.6099831027148,,,,,,,,,,,,,,,,,,
1500,503.001,0.1709783375263214,0.0014593629312754759,0,575.5277518211735,,,,,,,,,,,,,,,,,,
1550,518.881,0.17356432974338531,0.001455239542587121,0,576.4195097493756,,,,,,,,,,,,,,,,,,
1600,535.481,0.16872410476207733,0.0014509233484495956,0,576.4789782138735,,,,,,,,,,,,,,,,,,
1650,551.488,0.17255955934524536,0.0014464155288672804,0,577.1572446253183,,,,,,,,,,,,,,,,,,
1700,568.316,0.16724680364131927,0.0014417173162330386,0,576.9588967433879,,,,,,,,,,,,,,,,,,
1750,584.087,0.16579362750053406,0.001436829994991293,0,577.8194989087739,,,,,,,,,,,,,,,,,,
1800,600.827,0.16529043018817902,0.0014317549012868719,0,577.6976883002071,,,,,,,,,,,,,,,,,,
1850,616.841,0.16899578273296356,0.0014264934225997194,0,578.2663118149162,,,,,,,,,,,,,,,,,,
1900,633.439,0.16925697028636932,0.0014210469973655725,0,578.2687729266022,,,,,,,,,,,,,,,,,,
1950,648.78,0.1701798141002655,0.001415417114582709,0,579.396765888308,,,,,,,,,,,,,,,,,,
2000,664.855,0.1681264191865921,0.0014096053134048667,0,579.8292740727627,,,,,,,,,,,,,,,,,,
2050,681.705,0.16802293062210083,0.0014036131827204579,0,579.5781887826877,,,,,,,,,,,,,,,,,,
2100,697.582,0.16965562105178833,0.0013974423607181806,0,580.1509694003571,,,,,,,,,,,,,,,,,,
2150,714.154,0.16696985065937042,0.0013910945344391542,0,580.1307872059006,,,,,,,,,,,,,,,,,,
2200,730.022,0.1712815910577774,0.0013845714393157015,0,580.6732405632108,,,,,,,,,,,,,,,,,,
2250,746.639,0.1647016555070877,0.0013778748586968964,0,580.6075651644819,,,,,,,,,,,,,,,,,,
2300,762.508,0.17133206129074097,0.001371006623361015,0,581.1159179506378,,,,,,,,,,,,,,,,,,
2350,779.331,0.17134840786457062,0.0013639686110150195,0,580.8888190707596,,,,,,,,,,,,,,,,,,
2400,795.181,0.1684086173772812,0.0013567627457812105,0,581.385001185854,,,,,,,,,,,,,,,,,,
2450,811.895,0.1657913327217102,0.0013493909976711935,0,581.2398427429424,,,,,,,,,,,,,,,,,,
2500,827.77,0.17117053270339966,0.0013418553820472954,0,581.692090004756,,,,,,,,,,,,,,,,,,
2550,844.714,0.16567657887935638,0.0013341579590715844,0,581.3874003654572,,,,,,,,,,,,,,,,,,
2600,860.222,0.1651945859193802,0.0013263008331426444,0,582.0685826662888,,,,,,,,,,,,,,,,,,
2650,876.196,0.1716688871383667,0.0013182861523202511,0,582.4140862265581,,,,,,,,,,,,,,,,,,
2700,892.737,0.1706286072731018,0.0013101161077381154,0,582.3764213801157,,,,,,,,,,,,,,,,,,
2750,908.477,0.16758625209331512,0.0013017929330048487,0,582.8548333211772,,,,,,,,,,,,,,,,,,
2800,925.246,0.16551339626312256,0.0012933189035933168,0,582.6661414399116,,,,,,,,,,,,,,,,,,
2850,941.321,0.16538473963737488,0.001284696336218548,0,582.9150788728836,,,,,,,,,,,,,,,,,,
2900,958.07,0.17015105485916138,0.0012759275882043663,0,582.7442053559778,,,,,,,,,,,,,,,,,,
2950,974.156,0.16133302450180054,0.0012670150568389244,0,582.9770073228573,,,,,,,,,,,,,,,,,,
3000,990.873,0.17515616118907928,0.001257961178719306,0,582.829464591484,,,,,,,,,,,,,,,,,,
3050,1006.928,0.15659448504447937,0.001248768429085386,0,583.0711837772908,,,,,,,,,,,,,,,,,,
3100,1023.584,0.16885000467300415,0.0012394393211431264,0,582.9618548005282,,,,,,,,,,,,,,,,,,
3150,1039.613,0.1715509593486786,0.0012299764053774875,0,583.2085034100791,,,,,,,,,,,,,,,,,,
3200,1056.402,0.16739699244499207,0.0012203822688551529,0,583.0268622470908,,,,,,,,,,,,,,,,,,
3250,1071.912,0.16622045636177063,0.001210659534517251,0,583.5477165790467,,,,,,,,,,,,,,,,,,
3300,1087.724,0.1616227775812149,0.0012008108604622688,0,583.8911686107652,,,,,,,,,,,,,,,,,,
3350,1104.334,0.17005935311317444,0.001190838939219355,0,583.8018343327084,,,,,,,,,,,,,,,,,,
3400,1120.324,0.1658286154270172,0.0011807464970122077,0,584.0393286135242,,,,,,,,,,,,,,,,,,
3450,1137.153,0.16551750898361206,0.0011705362930137546,0,583.8374276455861,,,,,,,,,,,,,,,,,,
3500,1153.105,0.16411666572093964,0.0011602111185918204,0,584.0867373743722,,,,,,,,,,,,,,,,,,
3550,1169.708,0.16888931393623352,0.0011497737965459954,0,584.0031808789327,,,,,,,,,,,,,,,,,,
3600,1185.84,0.16859713196754456,0.0011392271803359114,0,584.1542617478834,,,,,,,,,,,,,,,,,,
3650,1202.834,0.16260869801044464,0.0011285741533011329,0,583.8814663147103,,,,,,,,,,,,,,,,,,
3700,1218.895,0.15971630811691284,0.0011178176278728812,0,584.0641629949235,,,,,,,,,,,,,,,,,,
3750,1235.687,0.16763006150722504,0.0011069605447778053,0,583.8959659841678,,,,,,,,,,,,,,,,,,
3800,1251.605,0.16720524430274963,0.0010960058722340159,0,584.1406540810023,,,,,,,,,,,,,,,,,,
3850,1268.695,0.1628233939409256,0.001084956605139605,0,583.8383121429282,,,,,,,,,,,,,,,,,,
3900,1284.33,0.16394972801208496,0.0010738157642538697,0,584.2061515132059,,,,,,,,,,,,,,,,,,
3950,1300.557,0.16214579343795776,0.001062586395371468,0,584.2987883244615,,,,,,,,,,,,,,,,,,
4000,1317.338,0.17156025767326355,0.0010512715684897272,0,584.1424914372237,,,,,,,,,,,,,,,,,,
4050,1333.462,0.1643940955400467,0.001039874376969339,0,584.278995376404,,,,,,,,,,,,,,,,,,
4100,1350.256,0.16364413499832153,0.0010283979366886656,0,584.1212086677128,,,,,,,,,,,,,,,,,,
4150,1366.135,0.17439496517181396,0.0010168453851918874,0,584.3593543397749,,,,,,,,,,,,,,,,,,
4200,1382.925,0.1706968992948532,0.0010052198808312323,0,584.2063140979138,,,,,,,,,,,,,,,,,,
4250,1399.0,0.16180598735809326,0.0009935246019035127,0,584.3559752654069,,,,,,,,,,,,,,,,,,
4300,1415.616,0.17145869135856628,0.0009817627457812106,0,584.2784364716456,,,,,,,,,,,,,,,,,,
4350,1431.371,0.163831889629364,0.0009699375280383486,0,584.5546561050545,,,,,,,,,,,,,,,,,,
4400,1447.935,0.17087438702583313,0.0009580521815713835,0,584.4973155625096,,,,,,,,,,,,,,,,,,
4450,1463.806,0.16890263557434082,0.0009461099557153648,0,584.7188065369287,,,,,,,,,,,,,,,,,,
4500,1480.672,0.16967378556728363,0.0009341141153555994,0,584.5414889551505,,,,,,,,,,,,,,,,,,
4550,1496.421,0.16183538734912872,0.0009220679400350637,0,584.8053000601675,,,,,,,,,,,,,,,,,,
4600,1512.371,0.1601259410381317,0.0009099747230578102,0,584.9857952748711,,,,,,,,,,,,,,,,,,
4650,1529.029,0.17001068592071533,0.0008978377705886101,0,584.8909665004971,,,,,,,,,,,,,,,,,,
4700,1545.072,0.17017395794391632,0.0008856604007490826,0,585.0315251126249,,,,,,,,,,,,,,,,,,
4750,1562.087,0.16657200455665588,0.0008734459427105505,0,584.8043984447673,,,,,,,,,,,,,,,,,,
4800,1577.861,0.16673897206783295,0.0008611977357838815,0,585.0424461947182,,,,,,,,,,,,,,,,,,
4850,1594.605,0.1630571186542511,0.0008489191285065518,0,584.9192854340145,,,,,,,,,,,,,,,,,,
4900,1610.535,0.1654130071401596,0.0008366134777271898,0,585.0949799693402,,,,,,,,,,,,,,,,,,
4950,1627.043,0.16254591941833496,0.0008242841476878472,0,585.0588505319549,,,,,,,,,,,,,,,,,,
5000,1643.021,0.1621348112821579,0.0008119345091042494,0,585.2122206364181,,,,,,,,,,,,,,,,,,
5050,1659.614,0.16509751975536346,0.0007995679382442745,0,585.1456403782953,,,,,,,,,,,,,,,,,,
5100,1675.34,0.1637388914823532,0.0007871878160049167,0,585.3834494735743,,,,,,,,,,,,,,,,,,
5150,1692.02,0.15364034473896027,0.0007747975269879812,0,585.2862975375812,,,,,,,,,,,,,,,,,,
5200,1707.17,0.16355715692043304,0.000762400458574769,0,585.7163246551257,,,,,,,,,,,,,,,,,,
5250,1722.834,0.1659860610961914,0.00075,0,585.9636136726439,,,,,,,,,,,,,,,,,,
5300,1739.296,0.16909319162368774,0.0007375995414252312,0,585.9369526962012,,,,,,,,,,,,,,,,,,
5350,1754.956,0.16507026553153992,0.0007252024730120189,0,586.1791599395349,,,,,,,,,,,,,,,,,,
5400,1771.652,0.162145733833313,0.0007128121839950832,0,586.0734829683556,,,,,,,,,,,,,,,,,,
5450,1787.449,0.1705355942249298,0.0007004320617557255,0,586.2649555889031,,,,,,,,,,,,,,,,,,
5500,1804.067,0.17163288593292236,0.0006880654908957508,0,586.1858860602564,,,,,,,,,,,,,,,,,,
5550,1819.725,0.160264790058136,0.000675715852312153,0,586.4177426726517,,,,,,,,,,,,,,,,,,
5600,1836.322,0.166738361120224,0.0006633865222728105,0,586.345499165605,,,,,,,,,,,,,,,,,,
5650,1852.374,0.16575145721435547,0.0006510808714934483,0,586.4471811077171,,,,,,,,,,,,,,,,,,
5700,1869.02,0.17447607219219208,0.0006388022642161184,0,586.3602671173061,,,,,,,,,,,,,,,,,,
5750,1885.032,0.1738012433052063,0.0006265540572894494,0,586.4725345220495,,,,,,,,,,,,,,,,,,
5800,1901.854,0.16326159238815308,0.0006143395992509179,0,586.332551094169,,,,,,,,,,,,,,,,,,
5850,1917.101,0.1574321687221527,0.0006021622294113899,0,586.6774768575174,,,,,,,,,,,,,,,,,,
5900,1932.888,0.16844424605369568,0.00059002527694219,0,586.8526722822922,,,,,,,,,,,,,,,,,,
5950,1949.444,0.16570571064949036,0.0005779320599649364,0,586.7931913526114,,,,,,,,,,,,,,,,,,
6000,1965.317,0.16857729852199554,0.0005658858846444007,0,586.9387425498207,,,,,,,,,,,,,,,,,,
6050,1981.728,0.16527360677719116,0.0005538900442846352,0,586.9222962463671,,,,,,,,,,,,,,,,,,
6100,1997.437,0.17080619931221008,0.0005419478184286167,0,587.1128680223867,,,,,,,,,,,,,,,,,,
6150,2014.072,0.16354016959667206,0.0005300624719616515,0,587.0299408530735,,,,,,,,,,,,,,,,,,
6200,2029.928,0.16481955349445343,0.0005182372542187895,0,587.1740683451188,,,,,,,,,,,,,,,,,,
6250,2046.437,0.1591508835554123,0.0005064753980964875,0,587.1284373148044,,,,,,,,,,,,,,,,,,
6300,2062.144,0.16515135765075684,0.0004947801191687677,0,587.31185594938,,,,,,,,,,,,,,,,,,
6350,2078.701,0.16296106576919556,0.0004831546148081126,0,587.2520915156304,,,,,,,,,,,,,,,,,,
6400,2094.539,0.15884682536125183,0.0004716020633113343,0,587.394999512194,,,,,,,,,,,,,,,,,,
6450,2111.021,0.16837632656097412,0.000460125623030661,0,587.3562697603658,,,,,,,,,,,,,,,,,,
6500,2126.465,0.1573408842086792,0.00044872843151027306,0,587.6054575014899,,,,,,,,,,,,,,,,,,
6550,2142.248,0.1613505482673645,0.00043741360462853235,0,587.7576095996723,,,,,,,,,,,,,,,,,,
6600,2158.559,0.1654815524816513,0.00042618423574613043,0,587.7638446103052,,,,,,,,,,,,,,,,,,
6650,2174.304,0.16806112229824066,0.00041504339486039517,0,587.9227872681123,,,,,,,,,,,,,,,,,,
6700,2190.832,0.17048226296901703,0.0004039941277659843,0,587.8694768268899,,,,,,,,,,,,,,,,,,
6750,2206.358,0.15620927512645721,0.0003930394552221948,0,588.0839116477416,,,,,,,,,,,,,,,,,,
6800,2222.782,0.1657412350177765,0.00038218237212711917,0,588.0573478916841,,,,,,,,,,,,,,,,,,
6850,2238.633,0.1617603302001953,0.0003714258466988674,0,588.182191177969,,,,,,,,,,,,,,,,,,
6900,2255.234,0.16840893030166626,0.00036077281966408886,0,588.1091052994994,,,,,,,,,,,,,,,,,,
6950,2271.036,0.16261635720729828,0.00035022620345400487,0,588.2443165182218,,,,,,,,,,,,,,,,,,
7000,2287.663,0.16230306029319763,0.00033978888140818,0,588.1652224568388,,,,,,,,,,,,,,,,,,
7050,2303.467,0.17143918573856354,0.00032946370698624553,0,588.2975038428609,,,,,,,,,,,,,,,,,,
7100,2319.932,0.16626906394958496,0.00031925350298779234,0,588.2603325667441,,,,,,,,,,,,,,,,,,
7150,2335.243,0.1657768040895462,0.00030916106078064524,0,588.5145971608464,,,,,,,,,,,,,,,,,,
7200,2351.519,0.1674044132232666,0.0002991891395377312,0,588.5237382683039,,,,,,,,,,,,,,,,,,
7250,2368.244,0.15948212146759033,0.00028934046548274915,0,588.4210025160231,,,,,,,,,,,,,,,,,,
7300,2384.12,0.16504964232444763,0.0002796177311448472,0,588.5294609665032,,,,,,,,,,,,,,,,,,
7350,2401.0,0.17073291540145874,0.0002700235946225125,0,588.3900714906304,,,,,,,,,,,,,,,,,,
